year,geo,value
2010,AUS,0.79564976686518
2011,AUS,1.1949133695206
2012,AUS,1.3735973043221998
2013,AUS,1.6409534311458
2014,AUS,3.5219476357965998
2015,AUS,2.2025820319015996
2016,AUS,2.3115443926787
2017,AUS,2.1312811256606
2018,AUS,1.2255167355823
2012,BEL,2.6058090319978
2013,BEL,1.3080889063362
2014,BEL,0.24874926198862
2015,BEL,0.67237106293618
2012,BRA,0.0
2013,BRA,0.09268320164043799
2014,BRA,0.0
2015,BRA,0.0
2016,BRA,0.0
2017,BRA,0.0
2018,BRA,0.0
2012,CAN,1.1158494639443999
2013,CAN,1.0823919670818
2014,CAN,1.1855862994475
2015,CAN,1.0482887671616
2016,CAN,1.0110085625129999
2017,CAN,1.2059921789316
2011,CHN,3.558625509297
2012,CHN,3.6457359214073
2013,CHN,6.9947009521979
2014,CHN,6.980418159665
2010,COL,0.0
2011,COL,0.28409969140247
2012,COL,0.48673644950418
2013,COL,0.0
2014,COL,0.9793857792026
2015,COL,0.71019663306439
2016,COL,0.69277790232036
2017,COL,0.7983273091580699
2010,DNK,2.5008937987919997
2011,DNK,3.9005678374411996
2012,DNK,3.379116598581
2013,DNK,1.8766970928791
2014,DNK,5.8575737293101
2015,DNK,5.624630237146699
2016,DNK,0.20355343081753
2017,DNK,0.73998774798724
2018,DNK,2.0983946690247
2010,EST,1.0286627023826
2011,EST,4.8711247387663
2012,EST,7.816516010721299
2013,EST,5.762668915974199
2014,EST,7.3365193720947
2015,EST,3.2005809956617
2016,EST,0.5928795226293799
2017,EST,3.9081805468882
2018,EST,5.7588669813505
2010,FRA,0.050357905313547995
2011,FRA,1.0692160600429998
2012,FRA,1.162153846484
2013,FRA,1.0107188063102
2016,DEU,0.028068161567545
2017,DEU,0.8412450062014
2018,DEU,2.8472284966282997
2013,GRC,0.66460049952284
2014,GRC,4.804211682854199
2015,GRC,4.2619768081448
2016,IND,1.3261410063211998
2017,IND,0.012130554485674
2018,IND,0.013470329807595
2014,IRL,0.40913757216992
2015,IRL,0.5922769164692699
2016,IRL,0.0
2017,IRL,2.0003929877147
2018,IRL,2.3628352834084
2012,ITA,0.30873403938224997
2013,ITA,0.6976837564866599
2014,ITA,5.8452531433682005
2015,ITA,14.014689623539
2016,ITA,24.529446593552
2017,ITA,0.6706562831540099
2018,ITA,3.3139488463083
2014,JPN,45.206546331148
2015,JPN,33.602625915103005
2016,JPN,37.140574071736
2017,JPN,47.743350917559
2018,JPN,41.662589879018
2011,LTU,0.23906008554972
2012,LTU,0.14556162845441
2014,LTU,0.09594142135516999
2015,LTU,0.92104663140946
2016,LTU,1.8600534788518999
2017,LTU,11.802626907066
2018,LTU,0.014178747587971
2010,NLD,0.0
2011,NLD,0.0
2012,NLD,1.9164101521006
2013,NLD,2.2332858484941
2014,NLD,2.3214930090982
2015,NLD,1.4117019017049
2016,NLD,4.0871364613721
2017,NLD,0.0
2018,NLD,0.0
2012,PER,1.6934721578589997
2013,PER,0.21083813038931998
2014,PER,6.0909878928669
2015,PER,0.55384995024574
2016,PER,2.5483149553717
2017,PER,0.24419831094058
2018,PER,0.31632295097818997
2010,POL,0.0
2011,POL,0.0
2012,POL,8.4246996437755
2013,POL,68.429529085169
2014,POL,101.53194288769
2015,POL,114.23701459803999
2017,POL,1.0802264673891
2018,POL,9.7524316850498
2011,PRT,0.53259777152012
2012,PRT,2.4389950294026996
2013,PRT,2.8730133913663995
2014,PRT,6.064951349008999
2015,PRT,12.528281440632
2012,SVN,1.2055215722799
2013,SVN,1.9291779205404
2014,SVN,0.14265721536682
2015,SVN,0.18922439284764
2016,SVN,0.032255507971620995
2018,SVN,0.22465643721731
2010,ESP,0.20191401728990999
2011,ESP,4.8173180934888
2012,ESP,6.425963499001
2013,ESP,11.863999232507
2014,ESP,9.5133342824239
2015,ESP,20.795558349343
2016,ESP,1.3003791905509
2017,ESP,5.1115875662671
2018,ESP,7.142173235975399
2010,SWE,0.10731969214350999
2011,SWE,1.3801851414583
2012,SWE,1.6919787532975998
2013,SWE,3.9382714412034
2014,SWE,4.6051407860136
2015,SWE,5.0091748605714
2016,SWE,0.025174332709720998
2017,SWE,0.6336690720457699
2018,SWE,1.6488588762228
2016,GBR,0.019251416951821
2017,GBR,0.33022325805676
2018,GBR,2.3042010571938
2010,VNM,0.6584073613664799
